col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,Y
206,97,1.6,143,0,0,0,0,1
149,123,0.8,62,0,0,0,0,0
151,72,0.3,116,0,0,0,0,1
197,63,0.1,172,0,0,0,0,0
154,70,1.7,77,0,0,0,0,0
157,119,1.1,113,0,0,0,0,0
169,75,1.6,176,0,0,0,0,1
159,98,0.0,77,0,0,0,0,1
190,57,0.3,116,0,0,0,0,1
157,61,0.2,76,0,0,0,0,0
182,71,0.5,92,0,0,0,0,1
207,62,0.6,80,0,0,0,0,1
149,33,1.3,146,0,0,0,0,1
162,116,1.2,77,0,0,0,0,0
207,66,0.3,60,0,0,0,0,0
217,49,1.8,120,0,0,0,0,0
178,117,1.5,80,0,0,0,0,0
145,74,0.4,109,0,0,0,0,1
169,104,0.4,179,0,0,0,0,0
174,97,0.6,165,0,0,0,0,1
210,35,1.5,75,0,0,0,0,0
212,104,1.8,148,0,0,0,0,1
214,30,0.9,171,0,0,0,0,0
154,125,1.1,173,0,0,0,0,1
155,107,1.5,91,0,0,0,0,0
145,120,0.4,81,0,0,0,0,0
168,88,0.9,179,0,0,0,0,1
203,93,1.2,99,0,0,0,0,0
172,78,1.5,94,0,0,0,0,0
205,47,0.4,121,0,0,0,0,1
200,50,1.1,104,0,0,0,0,0
212,127,0.4,133,0,0,0,0,1
168,75,0.1,69,0,0,0,0,0
218,51,1.8,97,0,0,0,0,0
173,54,0.3,113,0,0,0,0,1
198,97,1.6,70,0,0,0,0,0
191,118,1.2,68,0,0,0,0,0
159,121,0.8,171,0,0,0,0,1
194,50,0.6,162,0,0,0,0,0
157,71,0.1,170,0,0,0,0,0
170,44,1.3,84,0,0,0,0,0
210,79,0.7,64,0,0,0,0,0
161,64,0.6,164,0,0,0,0,1
217,67,1.2,123,0,0,0,0,1
156,58,1.7,154,0,0,0,0,0
143,105,0.0,86,0,0,0,0,1
181,57,1.9,128,0,0,0,0,0
184,45,0.9,96,0,0,0,0,0
158,51,1.7,150,0,0,0,0,0
144,57,0.8,72,0,0,0,0,0
205,30,0.9,91,0,0,0,0,0
159,43,1.2,177,0,0,0,0,1
145,85,1.8,154,0,0,0,0,0
208,33,0.7,77,0,0,0,0,0
181,109,0.9,71,0,0,0,0,0
200,120,1.6,135,0,0,0,0,1
144,116,1.0,117,0,0,0,0,0
211,81,0.4,137,0,0,0,0,1
182,97,0.3,89,0,0,0,0,1
151,38,0.2,65,0,0,0,0,0
149,45,1.5,89,0,0,0,0,0
191,118,0.2,135,0,0,0,0,1
204,77,0.8,158,0,0,0,0,1
199,129,0.2,98,0,0,0,0,1
202,41,1.3,90,0,0,0,0,0
199,39,0.0,177,0,0,0,0,0
181,93,1.9,68,0,0,0,0,0
148,103,1.5,92,0,0,0,0,0
196,127,1.8,127,0,0,0,0,0
188,79,1.5,135,0,0,0,0,1
189,56,0.3,113,0,0,0,0,1
186,67,0.7,70,0,0,0,0,0
154,89,0.9,77,0,0,0,0,0
169,100,0.2,98,0,0,0,0,1
189,76,1.1,167,0,0,0,0,1
212,33,0.1,165,0,0,0,0,0
214,128,1.9,155,0,0,0,0,1
171,83,1.5,148,0,0,0,0,1
178,116,0.7,85,0,0,0,0,0
172,43,1.4,114,0,0,0,0,0
218,112,1.1,148,0,0,0,0,1
187,127,0.6,173,0,0,0,0,0
218,126,1.8,104,0,0,0,0,0
153,115,1.1,119,0,0,0,0,0
148,92,1.4,179,0,0,0,0,1
151,49,0.7,62,0,0,0,0,0
156,91,0.4,129,0,0,0,0,1
196,103,1.0,168,0,0,0,0,1
201,115,1.7,146,0,0,0,0,1
180,128,0.5,114,0,0,0,0,1
171,37,1.0,116,0,0,0,0,1
193,30,1.6,147,0,0,0,0,1
170,76,0.4,119,0,0,0,0,1
180,121,1.3,170,0,0,0,0,1
159,111,1.4,177,0,0,0,0,1
178,49,1.4,72,0,0,0,0,0
169,111,0.9,118,0,0,0,0,1
167,64,0.4,95,0,0,0,0,1
174,107,0.2,65,0,0,0,0,0
190,31,0.8,172,0,0,0,0,0
144,60,2.0,67,0,0,0,0,0
183,124,0.2,95,0,0,0,0,1
192,65,1.1,72,0,0,0,0,0
145,90,1.4,148,0,0,0,0,1
146,128,0.7,120,0,0,0,0,1
146,76,0.2,73,0,0,0,0,0
212,47,0.5,121,0,0,0,0,1
213,39,2.0,134,0,0,0,0,0
188,55,0.4,131,0,0,0,0,1
145,106,0.5,130,0,0,0,0,1
168,42,0.6,95,0,0,0,0,0
187,101,0.9,127,0,0,0,0,1
154,114,0.9,61,0,0,0,0,0
209,129,0.8,133,0,0,0,0,1
146,108,0.7,89,0,0,0,0,0
174,39,0.0,127,0,0,0,0,1
147,74,0.8,103,0,0,0,0,0
208,47,0.9,139,0,0,0,0,1
175,109,1.4,60,0,0,0,0,0
165,69,1.3,132,0,0,0,0,0
168,41,0.9,162,0,0,0,0,1
152,108,0.9,105,0,0,0,0,0
146,104,0.1,173,0,0,0,0,0
160,65,0.6,161,0,0,0,0,1
219,35,1.3,77,0,0,0,0,0
176,79,1.6,175,0,0,0,0,1
212,55,0.3,159,0,0,0,0,0
157,65,0.6,122,0,0,0,0,1
206,89,0.6,75,0,0,0,0,0
201,116,1.0,65,0,0,0,0,0
201,90,0.6,98,0,0,0,0,1
142,107,0.3,86,0,0,0,0,0
145,69,0.2,75,0,0,0,0,0
209,49,0.1,167,0,0,0,0,0
160,103,1.3,98,0,0,0,0,0
217,111,1.6,162,0,0,0,0,1
191,85,0.6,99,0,0,0,0,1
147,113,1.0,155,0,0,0,0,1
184,92,1.0,64,0,0,0,0,0
199,49,1.4,145,0,0,0,0,1
162,40,0.3,61,0,0,0,0,0
163,128,0.9,132,0,0,0,0,1
148,43,0.6,157,0,0,0,0,1
166,110,1.6,174,0,0,0,0,1
160,57,0.4,120,0,0,0,0,1
189,101,1.7,117,0,0,0,0,0
215,33,1.1,153,0,0,0,0,1
143,99,1.1,134,0,0,0,0,1
216,104,0.7,172,0,0,0,0,0
147,84,0.8,76,0,0,0,0,0
149,67,1.1,72,0,0,0,0,0
161,37,1.0,71,0,0,0,0,0
210,125,1.2,102,0,0,0,0,0
158,42,0.7,152,0,0,0,0,1
204,127,0.5,176,0,0,0,0,0
202,127,0.6,151,0,0,0,0,1
187,34,0.8,74,0,0,0,0,0
203,78,1.6,138,0,0,0,0,1
148,98,1.2,111,0,0,0,0,0
161,120,0.6,108,0,0,0,0,1
159,88,1.6,98,0,0,0,0,0
208,47,0.4,87,0,0,0,0,1
202,54,0.0,124,0,0,0,0,1
151,99,0.0,106,0,0,0,0,1
195,115,0.7,136,0,0,0,0,1
166,82,1.0,82,0,0,0,0,0
174,118,0.2,138,0,0,0,0,1
192,118,1.8,128,0,0,0,0,0
212,126,0.8,113,0,0,0,0,1
170,80,1.6,95,0,0,0,0,0
199,42,0.2,163,0,0,0,0,0
210,30,1.6,151,0,0,0,0,1
158,100,0.1,151,0,0,0,0,1
216,96,1.7,144,0,0,0,0,1
187,60,2.0,134,0,0,0,0,0
149,44,0.7,126,0,0,0,0,1
212,110,0.8,155,0,0,0,0,1
165,126,1.3,157,0,0,0,0,1
176,65,1.5,99,0,0,0,0,0
170,49,1.2,96,0,0,0,0,0
194,105,1.8,60,0,0,0,0,0
169,97,0.9,156,0,0,0,0,1
196,124,1.3,126,0,0,0,0,1
142,108,1.4,105,0,0,0,0,0
